negatives
"frozenset({'P55316', 'P31276', 'TCR'})"
"frozenset({'Q9Y2W6', 'Q99496', 'TCR'})"
"frozenset({'P37840', 'Q9BT67', 'TCR'})"
"frozenset({'Q15717', 'A0AVT1', 'TCR'})"
"frozenset({'Q9UJW3', 'P68431', 'TCR'})"
"frozenset({'Q9HCD6', 'Q5TCZ1', 'TCR'})"
"frozenset({'Q16877', 'Q9UJX2', 'TCR'})"
"frozenset({'P62258', 'Q9NR30', 'TCR'})"
"frozenset({'O00212', 'Q6DKK2', 'TCR'})"
"frozenset({'P30153', 'P54277', 'TCR'})"
"frozenset({'O00483', 'Q9H078', 'TCR'})"
"frozenset({'Q8N1B4', 'Q14119', 'TCR'})"
"frozenset({'Q15717', 'Q9BTC8', 'TCR'})"
"frozenset({'Q9Y279', 'Q96K12', 'TCR'})"
"frozenset({'P03897', 'TCR', 'Q9NX14'})"
"frozenset({'O75170', 'O95573', 'TCR'})"
"frozenset({'P57078', 'Q8N5M9', 'TCR'})"
"frozenset({'O95793', 'O75569', 'TCR'})"
"frozenset({'Q6P1K2', 'Q8IYX1', 'TCR'})"
"frozenset({'P16220', 'Q96Q42', 'TCR'})"
"frozenset({'O95178', 'Q86Y39', 'TCR'})"
"frozenset({'Q7RTN6', 'Q9UGI9', 'TCR'})"
"frozenset({'Q9BRG1', 'Q7L4P6', 'TCR'})"
"frozenset({'P16144', 'P56199', 'TCR'})"
"frozenset({'Q9UJY5', 'TCR', 'O60941'})"
"frozenset({'TCR', 'Q96HA7', 'O95831'})"
"frozenset({'Q96RY7', 'Q9BPW8', 'TCR'})"
"frozenset({'Q5T653', 'TCR', 'Q9BYD6'})"
"frozenset({'Q6ZU80', 'Q92878', 'TCR'})"
"frozenset({'Q16531', 'P25786', 'TCR'})"
"frozenset({'Q9Y2X0', 'TCR', 'Q9NVC6'})"
"frozenset({'O43251', 'Q9H9V9', 'TCR'})"
"frozenset({'TCR', 'P98175', 'P17844'})"
"frozenset({'P49736', 'O94826', 'TCR'})"
"frozenset({'P23443', 'P62877', 'TCR'})"
"frozenset({'Q5T215', 'Q8WVT3', 'TCR'})"
"frozenset({'O95447', 'Q9NQT4', 'TCR'})"
"frozenset({'Q86VP6', 'Q7L0Y3', 'TCR'})"
"frozenset({'P49281', 'O60260', 'TCR'})"
"frozenset({'TCR', 'Q6A162', 'Q92608'})"
"frozenset({'P53779', 'TCR', 'P32121'})"
"frozenset({'P50221', 'Q9UJX6', 'TCR'})"
"frozenset({'TCR', 'P04637', 'Q9H2S5'})"
"frozenset({'TCR', 'P05067', 'P05109'})"
"frozenset({'Q92824', 'Q02083', 'TCR'})"
"frozenset({'P27694', 'P07437', 'TCR'})"
"frozenset({'Q9BYD1', 'Q8IXM3', 'TCR'})"
"frozenset({'O76015', 'P17024', 'TCR'})"
"frozenset({'P41208', 'Q96FF9', 'TCR'})"
"frozenset({'Q3LXA3', 'P50579', 'TCR'})"
"frozenset({'Q9GZV1', 'P04637', 'TCR'})"
"frozenset({'Q8N5A5', 'Q14839', 'TCR'})"
"frozenset({'O75474', 'Q05209', 'TCR'})"
"frozenset({'Q13613', 'Q9UKB1', 'TCR'})"
"frozenset({'P25054', 'Q8IUQ4', 'TCR'})"
"frozenset({'TCR', 'O60281', 'P07237'})"
"frozenset({'Q6K0P9', 'P33764', 'TCR'})"
"frozenset({'Q93050', 'P00533', 'TCR'})"
"frozenset({'Q86UP2', 'Q9BXN2', 'TCR'})"
"frozenset({'Q02447', 'Q92769', 'TCR'})"
"frozenset({'Q96NJ5', 'P07900', 'TCR'})"
"frozenset({'P28066', 'Q92466', 'TCR'})"
"frozenset({'P01106', 'Q14055', 'TCR'})"
"frozenset({'O75208', 'P56381', 'TCR'})"
"frozenset({'TCR', 'P63104', 'Q99832'})"
"frozenset({'O43242', 'Q9Y5K5', 'TCR'})"
"frozenset({'Q15717', 'P98174', 'TCR'})"
"frozenset({'P13995', 'Q13469', 'TCR'})"
"frozenset({'TCR', 'P00533', 'P98172'})"
"frozenset({'Q9NYL9', 'Q5TKA1', 'TCR'})"
"frozenset({'Q9Y6K9', 'P19388', 'TCR'})"
"frozenset({'O15350', 'Q96PM5', 'TCR'})"
"frozenset({'TCR', 'P41250', 'P22059'})"
"frozenset({'Q9UIS9', 'P08047', 'TCR'})"
"frozenset({'Q14457', 'Q99496', 'TCR'})"
"frozenset({'P21802', 'P46109', 'TCR'})"
"frozenset({'P98170', 'P55211', 'TCR'})"
"frozenset({'Q13616', 'P49427', 'TCR'})"
"frozenset({'Q9BZ95', 'Q6NXT2', 'TCR'})"
"frozenset({'P21333', 'Q5T5U3', 'TCR'})"
"frozenset({'P63104', 'P04632', 'TCR'})"
"frozenset({'P60842', 'Q9UQL6', 'TCR'})"
"frozenset({'Q96LR5', 'Q96J02', 'TCR'})"
"frozenset({'P18124', 'P35232', 'TCR'})"
"frozenset({'Q9UNE7', 'TCR', 'O14746'})"
"frozenset({'P08700', 'TCR', 'Q6UWB1'})"
"frozenset({'O43818', 'Q9NV06', 'TCR'})"
"frozenset({'A6NMS3', 'P49407', 'TCR'})"
"frozenset({'P14923', 'P43246', 'TCR'})"
"frozenset({'P15531', 'Q9Y3F4', 'TCR'})"
"frozenset({'Q9ULW6', 'Q8N715', 'TCR'})"
"frozenset({'Q96P16', 'Q8TAT6', 'TCR'})"
"frozenset({'Q00613', 'Q9UI26', 'TCR'})"
"frozenset({'P27694', 'Q9Y496', 'TCR'})"
"frozenset({'O14654', 'P07900', 'TCR'})"
"frozenset({'TCR', 'O43143', 'O75400'})"
"frozenset({'P36776', 'Q7Z7A1', 'TCR'})"
"frozenset({'TCR', 'P98179', 'P27635'})"
"frozenset({'Q9BY32', 'Q9HCE1', 'TCR'})"
"frozenset({'Q7Z2E3', 'TCR', 'P02686'})"
"frozenset({'TCR', 'Q8NI22', 'P26640'})"
"frozenset({'O75161', 'Q9H8V3', 'TCR'})"
"frozenset({'Q92784', 'Q9Y3E1', 'TCR'})"
"frozenset({'P22681', 'P11021', 'TCR'})"
"frozenset({'P00533', 'P20336', 'TCR'})"
"frozenset({'Q9UGL1', 'P52824', 'TCR'})"
"frozenset({'TCR', 'Q96QU8', 'P49841'})"
"frozenset({'P49815', 'TCR', 'Q96EB6'})"
"frozenset({'Q8N983', 'Q96SB4', 'TCR'})"
"frozenset({'O15160', 'TCR', 'Q9HAV7'})"
"frozenset({'P50749', 'Q7L9L4', 'TCR'})"
"frozenset({'Q6PKG0', 'O60573', 'TCR'})"
"frozenset({'P48556', 'Q15796', 'TCR'})"
"frozenset({'O15294', 'Q04206', 'TCR'})"
"frozenset({'Q86Y33', 'Q8N9W6', 'TCR'})"
"frozenset({'Q13948', 'TCR', 'P78334'})"
"frozenset({'TCR', 'Q00536', 'Q3MII6'})"
"frozenset({'Q14166', 'Q16864', 'TCR'})"
"frozenset({'Q8N448', 'Q96I25', 'TCR'})"
"frozenset({'Q71RC2', 'P41218', 'TCR'})"
"frozenset({'Q9UKR5', 'P63167', 'TCR'})"
"frozenset({'O43488', 'P14635', 'TCR'})"
"frozenset({'Q92974', 'Q12962', 'TCR'})"
"frozenset({'P35226', 'P49411', 'TCR'})"
"frozenset({'O94992', 'Q13547', 'TCR'})"
"frozenset({'TCR', 'P19419', 'Q6SJ96'})"
"frozenset({'Q8TEW6', 'P07949', 'TCR'})"
"frozenset({'P08559', 'P56537', 'TCR'})"
"frozenset({'P39656', 'Q14999', 'TCR'})"
"frozenset({'P68431', 'Q86Y91', 'TCR'})"
"frozenset({'TCR', 'Q12933', 'Q5VWQ8'})"
"frozenset({'P57078', 'P63208', 'TCR'})"
"frozenset({'O15394', 'P32004', 'TCR'})"
"frozenset({'Q86YD3', 'Q71U36', 'TCR'})"
"frozenset({'Q8IVL1', 'Q9UBN7', 'TCR'})"
"frozenset({'P35968', 'O00329', 'TCR'})"
"frozenset({'P67809', 'Q9UG63', 'TCR'})"
"frozenset({'Q9H5Z1', 'TCR', 'O14980'})"
"frozenset({'P13639', 'P11441', 'TCR'})"
"frozenset({'Q9Y6R4', 'Q96EQ0', 'TCR'})"
"frozenset({'P00533', 'Q14134', 'TCR'})"
"frozenset({'TCR', 'Q9NY93', 'P62910'})"
"frozenset({'O75940', 'Q15428', 'TCR'})"
"frozenset({'P83916', 'P04792', 'TCR'})"
"frozenset({'P62140', 'P23528', 'TCR'})"
"frozenset({'Q9NZJ5', 'P14625', 'TCR'})"
"frozenset({'Q15477', 'Q8IZH2', 'TCR'})"
"frozenset({'P68104', 'P18621', 'TCR'})"
"frozenset({'P60896', 'Q14997', 'TCR'})"
"frozenset({'TCR', 'P17612', 'Q8IW41'})"
"frozenset({'P01112', 'O75398', 'TCR'})"
"frozenset({'TCR', 'Q7Z3S9', 'P60331'})"
"frozenset({'Q8WXX5', 'Q86VP6', 'TCR'})"
"frozenset({'TCR', 'Q9UBU8', 'Q96ST3'})"
"frozenset({'Q16512', 'Q9BZW7', 'TCR'})"
"frozenset({'Q6P0Q8', 'P61956', 'TCR'})"
"frozenset({'P28066', 'P24941', 'TCR'})"
"frozenset({'TCR', 'P40692', 'Q96EB6'})"
"frozenset({'TCR', 'P07910', 'O14980'})"
"frozenset({'O15105', 'TCR', 'Q6ZNA4'})"
"frozenset({'P22612', 'P49768', 'TCR'})"
"frozenset({'Q14697', 'Q9BUN8', 'TCR'})"
"frozenset({'P15121', 'P00441', 'TCR'})"
"frozenset({'Q9UMY4', 'Q9H2H8', 'TCR'})"
"frozenset({'O60496', 'Q99704', 'TCR'})"
"frozenset({'Q9UNH7', 'Q92541', 'TCR'})"
"frozenset({'O43809', 'Q75N90', 'TCR'})"
"frozenset({'Q13443', 'Q9Y266', 'TCR'})"
"frozenset({'P67775', 'Q9Y5B0', 'TCR'})"
"frozenset({'Q16082', 'TCR', 'P13533'})"
"frozenset({'Q8IVW6', 'P42694', 'TCR'})"
"frozenset({'Q15717', 'P30085', 'TCR'})"
"frozenset({'P61160', 'P30480', 'TCR'})"
"frozenset({'Q96FV3', 'P36896', 'TCR'})"
"frozenset({'TCR', 'Q8NG27', 'P45974'})"
"frozenset({'Q96K17', 'Q9BZK3', 'TCR'})"
"frozenset({'Q9UGI9', 'Q96B36', 'TCR'})"
"frozenset({'P27348', 'P01106', 'TCR'})"
"frozenset({'Q9UBI6', 'P98174', 'TCR'})"
"frozenset({'P63279', 'Q9UER7', 'TCR'})"
"frozenset({'TCR', 'Q9Y2V2', 'O76061'})"
"frozenset({'Q9HBE1', 'O75030', 'TCR'})"
"frozenset({'O94986', 'Q12756', 'TCR'})"
"frozenset({'Q6ZU80', 'Q9Y3A3', 'TCR'})"
"frozenset({'P19320', 'P61604', 'TCR'})"
"frozenset({'P10276', 'Q9UPP1', 'TCR'})"
"frozenset({'Q9NS61', 'Q8IZ07', 'TCR'})"
"frozenset({'TCR', 'Q9BZS1', 'Q86T24'})"
"frozenset({'O60496', 'P01588', 'TCR'})"
"frozenset({'TCR', 'Q8IYT4', 'Q92499'})"
"frozenset({'O14964', 'Q96QK1', 'TCR'})"
"frozenset({'P15313', 'Q6IAA8', 'TCR'})"
"frozenset({'P61218', 'Q8IXW5', 'TCR'})"
"frozenset({'Q14194', 'P04629', 'TCR'})"
"frozenset({'TCR', 'Q9NX76', 'Q9NZQ7'})"
"frozenset({'P52732', 'Q14432', 'TCR'})"
"frozenset({'Q8WUF5', 'P06493', 'TCR'})"
"frozenset({'Q09472', 'P15407', 'TCR'})"
"frozenset({'P02751', 'P31946', 'TCR'})"
"frozenset({'Q15048', 'Q15369', 'TCR'})"
"frozenset({'TCR', 'O95994', 'Q15323'})"
"frozenset({'P62820', 'P09651', 'TCR'})"
"frozenset({'Q96RR1', 'Q3L8U1', 'TCR'})"
"frozenset({'TCR', 'P46934', 'P32121'})"
"frozenset({'Q9NQT8', 'P30307', 'TCR'})"
"frozenset({'TCR', 'Q14CW9', 'O75528'})"
"frozenset({'Q96DZ9', 'Q5ST30', 'TCR'})"
"frozenset({'Q8NG78', 'TCR', 'P32121'})"
"frozenset({'Q9BQC6', 'O43889', 'TCR'})"
"frozenset({'Q15003', 'Q92747', 'TCR'})"
"frozenset({'TCR', 'Q16526', 'P27635'})"
"frozenset({'P11234', 'P61586', 'TCR'})"
"frozenset({'Q9UHY7', 'Q8NI22', 'TCR'})"
"frozenset({'Q86V48', 'P52732', 'TCR'})"
"frozenset({'Q9Y5B8', 'Q9P209', 'TCR'})"
"frozenset({'O00148', 'Q8IWZ6', 'TCR'})"
"frozenset({'TCR', 'O75503', 'O14980'})"
"frozenset({'P98175', 'P61326', 'TCR'})"
"frozenset({'Q9UBU9', 'Q969R2', 'TCR'})"
"frozenset({'Q13616', 'Q8TES7', 'TCR'})"
"frozenset({'TCR', 'P16401', 'Q9NWZ3'})"
"frozenset({'O75937', 'P17096', 'TCR'})"
"frozenset({'Q9UPM6', 'Q8IWB7', 'TCR'})"
"frozenset({'Q13342', 'Q13526', 'TCR'})"
"frozenset({'TCR', 'Q7KZI7', 'Q14203'})"
"frozenset({'P61077', 'Q86UW9', 'TCR'})"
"frozenset({'Q9BR77', 'Q2M1P5', 'TCR'})"
"frozenset({'TCR', 'P35232', 'O14980'})"
"frozenset({'O75526', 'Q9GZQ8', 'TCR'})"
"frozenset({'Q14978', 'P42166', 'TCR'})"
"frozenset({'TCR', 'O75335', 'O15083'})"
"frozenset({'TCR', 'Q9Y5X1', 'P49257'})"
"frozenset({'P26998', 'Q8IYB3', 'TCR'})"
"frozenset({'O00746', 'Q07021', 'TCR'})"
"frozenset({'P08247', 'P42858', 'TCR'})"
"frozenset({'Q9P2W3', 'A6NJZ3', 'TCR'})"
"frozenset({'Q6NUN9', 'TCR', 'P13010'})"
"frozenset({'Q9NRP7', 'P68431', 'TCR'})"
"frozenset({'Q9Y221', 'Q9UPP1', 'TCR'})"
"frozenset({'P63279', 'P35520', 'TCR'})"
"frozenset({'P46379', 'Q9UMF0', 'TCR'})"
"frozenset({'Q8NGX3', 'O60262', 'TCR'})"
"frozenset({'TCR', 'P30260', 'P63098'})"
"frozenset({'Q15365', 'P08238', 'TCR'})"
"frozenset({'P04062', 'Q8NI35', 'TCR'})"
"frozenset({'O00482', 'TCR', 'Q15466'})"
"frozenset({'Q9NQT8', 'Q15678', 'TCR'})"
"frozenset({'Q14204', 'P26368', 'TCR'})"
"frozenset({'O94817', 'Q07820', 'TCR'})"
"frozenset({'Q9HCG8', 'P04629', 'TCR'})"
"frozenset({'P19404', 'Q9UHG3', 'TCR'})"
"frozenset({'Q9HCM9', 'P68036', 'TCR'})"
"frozenset({'O60264', 'Q16385', 'TCR'})"
"frozenset({'Q15717', 'P05198', 'TCR'})"
"frozenset({'TCR', 'P12004', 'P13473'})"
"frozenset({'Q07011', 'Q13114', 'TCR'})"
"frozenset({'O15265', 'P35609', 'TCR'})"
"frozenset({'Q2M3V2', 'Q6ZRI6', 'TCR'})"
"frozenset({'TCR', 'Q6NUS6', 'P08240'})"
"frozenset({'Q14680', 'O15075', 'TCR'})"
"frozenset({'Q9GZX6', 'P08887', 'TCR'})"
"frozenset({'O14576', 'P68363', 'TCR'})"
"frozenset({'Q9Y5N6', 'O43929', 'TCR'})"
"frozenset({'TCR', 'P63104', 'Q9UBN7'})"
"frozenset({'P11229', 'P63096', 'TCR'})"
"frozenset({'TCR', 'Q9UNZ2', 'P39687'})"
"frozenset({'O43765', 'P10145', 'TCR'})"
"frozenset({'TCR', 'P62330', 'P50395'})"
"frozenset({'Q13619', 'Q9H9S0', 'TCR'})"
"frozenset({'TCR', 'P05161', 'Q13627'})"
"frozenset({'Q9UNE7', 'Q9UQ16', 'TCR'})"
"frozenset({'Q92754', 'P04637', 'TCR'})"
"frozenset({'P56748', 'Q9BZL3', 'TCR'})"
"frozenset({'TCR', 'O75581', 'Q9NPG1'})"
"frozenset({'P60953', 'Q96BY6', 'TCR'})"
"frozenset({'TCR', 'Q9P2A4', 'Q9BRR9'})"
"frozenset({'O00487', 'Q8IZU0', 'TCR'})"
"frozenset({'Q9H9J2', 'P04629', 'TCR'})"
"frozenset({'Q9UBS0', 'Q96SI9', 'TCR'})"
"frozenset({'Q8WUI4', 'Q14839', 'TCR'})"
"frozenset({'Q9NVV9', 'Q8N9E0', 'TCR'})"
"frozenset({'Q15149', 'P08670', 'TCR'})"
"frozenset({'Q16543', 'Q14994', 'TCR'})"
"frozenset({'Q9GZV4', 'P24941', 'TCR'})"
"frozenset({'TCR', 'Q13416', 'P33991'})"
"frozenset({'TCR', 'O14965', 'Q9BXS6'})"
"frozenset({'P52597', 'Q9P0T4', 'TCR'})"
"frozenset({'TCR', 'O75928', 'O43741'})"
"frozenset({'Q96CW1', 'Q8N3F0', 'TCR'})"
"frozenset({'TCR', 'Q9Y3M2', 'Q9Y2U5'})"
"frozenset({'B5ME19', 'P20042', 'TCR'})"
"frozenset({'P62879', 'P11498', 'TCR'})"
"frozenset({'TCR', 'Q9UQ35', 'Q9NR30'})"
"frozenset({'P49736', 'Q13535', 'TCR'})"
"frozenset({'P12314', 'TCR', 'O75022'})"
"frozenset({'O60907', 'Q9H9S0', 'TCR'})"
"frozenset({'Q9H3M7', 'P10599', 'TCR'})"
"frozenset({'TCR', 'Q07955', 'P14866'})"
"frozenset({'Q13618', 'Q9BQG0', 'TCR'})"
"frozenset({'P06239', 'Q9Y6K9', 'TCR'})"
"frozenset({'TCR', 'O60260', 'Q13627'})"
"frozenset({'P06241', 'O43463', 'TCR'})"
"frozenset({'Q8WTQ7', 'P32246', 'TCR'})"
"frozenset({'P61221', 'TCR', 'P62910'})"
"frozenset({'Q96RQ1', 'Q9UGM1', 'TCR'})"
"frozenset({'Q99549', 'Q96IX5', 'TCR'})"
"frozenset({'Q9GZV7', 'Q3LI66', 'TCR'})"
"frozenset({'Q86VP6', 'Q99733', 'TCR'})"
"frozenset({'Q6VVB1', 'P51965', 'TCR'})"
"frozenset({'Q9NPD3', 'Q01780', 'TCR'})"
"frozenset({'O75530', 'TCR', 'P49327'})"
"frozenset({'Q9BYW2', 'Q13347', 'TCR'})"
"frozenset({'TCR', 'Q05209', 'Q00887'})"
"frozenset({'TCR', 'Q9BY44', 'P29372'})"
"frozenset({'TCR', 'P62805', 'Q8NCD3'})"
"frozenset({'O60238', 'A0PK00', 'TCR'})"
"frozenset({'A6NHQ4', 'Q9BQE3', 'TCR'})"
"frozenset({'Q5SRE5', 'Q13291', 'TCR'})"
"frozenset({'Q9C029', 'P08238', 'TCR'})"
"frozenset({'TCR', 'Q96K21', 'O43865'})"
"frozenset({'P62826', 'P51531', 'TCR'})"
"frozenset({'P29350', 'P78314', 'TCR'})"
"frozenset({'Q96T75', 'Q6UY14', 'TCR'})"
"frozenset({'Q96CV9', 'Q96B67', 'TCR'})"
"frozenset({'P54619', 'Q6P1W5', 'TCR'})"
"frozenset({'O76002', 'P35626', 'TCR'})"
"frozenset({'P32298', 'P49238', 'TCR'})"
"frozenset({'Q8N1I0', 'O00212', 'TCR'})"
"frozenset({'TCR', 'Q9UJX4', 'Q6ZW49'})"
"frozenset({'Q6S5L8', 'P21802', 'TCR'})"
"frozenset({'Q8IVD9', 'Q96H20', 'TCR'})"
"frozenset({'Q13315', 'Q8TDI0', 'TCR'})"
"frozenset({'Q5VVX9', 'Q13049', 'TCR'})"
"frozenset({'TCR', 'P46379', 'Q96L14'})"
"frozenset({'TCR', 'Q5QNW6', 'Q8IUE6'})"
"frozenset({'P13726', 'Q86Y82', 'TCR'})"
"frozenset({'P25098', 'Q8NGE7', 'TCR'})"
"frozenset({'Q86VP3', 'Q12933', 'TCR'})"
"frozenset({'Q9H5K3', 'P05496', 'TCR'})"
"frozenset({'P04629', 'Q8TA86', 'TCR'})"
"frozenset({'TCR', 'O95905', 'O14980'})"
"frozenset({'P14625', 'TCR', 'P68400'})"
"frozenset({'P29972', 'Q12933', 'TCR'})"
"frozenset({'P53778', 'O43524', 'TCR'})"
"frozenset({'P53618', 'O94972', 'TCR'})"
"frozenset({'TCR', 'P61586', 'P01889'})"
"frozenset({'P16104', 'Q7Z2G1', 'TCR'})"
"frozenset({'P37840', 'Q96A73', 'TCR'})"
"frozenset({'Q5JXC2', 'Q8N6Y0', 'TCR'})"
"frozenset({'Q9NV31', 'Q9P2E3', 'TCR'})"
"frozenset({'TCR', 'P19838', 'P62714'})"
"frozenset({'P0C0S5', 'P49450', 'TCR'})"
"frozenset({'Q04206', 'Q13489', 'TCR'})"
"frozenset({'P07947', 'Q07912', 'TCR'})"
"frozenset({'Q13618', 'TCR', 'Q9H5Q4'})"
"frozenset({'Q8NBF2', 'P04629', 'TCR'})"
"frozenset({'Q5JXC2', 'TCR', 'O76011'})"
"frozenset({'Q13459', 'P04629', 'TCR'})"
"frozenset({'O00746', 'O14543', 'TCR'})"
"frozenset({'Q15717', 'Q16612', 'TCR'})"
"frozenset({'Q9NVI7', 'P54278', 'TCR'})"
"frozenset({'Q6TGC4', 'Q9BTC8', 'TCR'})"
"frozenset({'P13942', 'P20073', 'TCR'})"
"frozenset({'Q9GZP0', 'P09619', 'TCR'})"
"frozenset({'TCR', 'Q16514', 'Q92830'})"
"frozenset({'TCR', 'P02768', 'Q9Y383'})"
"frozenset({'Q9HBI1', 'P23229', 'TCR'})"
"frozenset({'O43491', 'P42261', 'TCR'})"
"frozenset({'Q9H9A6', 'Q9BT09', 'TCR'})"
"frozenset({'P11172', 'P42336', 'TCR'})"
"frozenset({'Q16778', 'TCR', 'O95166'})"
"frozenset({'TCR', 'Q13619', 'P22626'})"
"frozenset({'Q16670', 'Q9HB58', 'TCR'})"
"frozenset({'P61604', 'O60684', 'TCR'})"
"frozenset({'P06733', 'Q9Y448', 'TCR'})"
"frozenset({'Q96ME7', 'Q99496', 'TCR'})"
"frozenset({'Q13501', 'P06493', 'TCR'})"
"frozenset({'Q09028', 'Q9NVP2', 'TCR'})"
"frozenset({'Q8NCE0', 'Q15642', 'TCR'})"
"frozenset({'P10321', 'TCR', 'P01893'})"
"frozenset({'TCR', 'Q92766', 'Q16695'})"
"frozenset({'TCR', 'Q00610', 'Q92905'})"
"frozenset({'TCR', 'O15078', 'P14174'})"
"frozenset({'P0CG20', 'Q9Y5V3', 'TCR'})"
"frozenset({'TCR', 'P62873', 'P50150'})"
"frozenset({'P24394', 'O14544', 'TCR'})"
"frozenset({'Q99717', 'TCR', 'P17844'})"
"frozenset({'Q6P2E9', 'P35249', 'TCR'})"
"frozenset({'TCR', 'O15382', 'P04040'})"
"frozenset({'Q9NQ29', 'P62316', 'TCR'})"
"frozenset({'P62316', 'Q9Y3B4', 'TCR'})"
"frozenset({'Q9BUV8', 'O15269', 'TCR'})"
"frozenset({'TCR', 'Q99729', 'Q9H492'})"
"frozenset({'Q8IZP0', 'P22061', 'TCR'})"
"frozenset({'Q96GX1', 'Q9NX61', 'TCR'})"
"frozenset({'P07355', 'P05771', 'TCR'})"
"frozenset({'TCR', 'Q9NQ31', 'Q96EB6'})"
"frozenset({'Q9H4P4', 'Q8NEY1', 'TCR'})"
"frozenset({'Q9HCH5', 'P51159', 'TCR'})"
"frozenset({'TCR', 'O14965', 'Q96K76'})"
"frozenset({'P61313', 'P20042', 'TCR'})"
"frozenset({'TCR', 'Q96B26', 'Q9H0D6'})"
"frozenset({'P21127', 'P62258', 'TCR'})"
"frozenset({'TCR', 'Q04695', 'Q15834'})"
"frozenset({'P20936', 'P29317', 'TCR'})"
"frozenset({'O00567', 'Q15397', 'TCR'})"
"frozenset({'P19012', 'Q8TAU3', 'TCR'})"
"frozenset({'Q92974', 'Q96T76', 'TCR'})"
"frozenset({'Q8WXE9', 'Q15811', 'TCR'})"
"frozenset({'P28838', 'Q9Y4G8', 'TCR'})"
"frozenset({'Q96HA1', 'P12270', 'TCR'})"
"frozenset({'P61077', 'Q8TCJ0', 'TCR'})"
"frozenset({'P55209', 'Q99733', 'TCR'})"
"frozenset({'P28482', 'Q8N8S7', 'TCR'})"
"frozenset({'Q96E17', 'O75360', 'TCR'})"
"frozenset({'O95684', 'O00267', 'TCR'})"
"frozenset({'TCR', 'P38919', 'P27635'})"
"frozenset({'Q9UPQ8', 'Q9NZQ7', 'TCR'})"
"frozenset({'Q53EZ4', 'TCR', 'Q9H9H4'})"
"frozenset({'P62993', 'P01133', 'TCR'})"
"frozenset({'TCR', 'P62993', 'P63010'})"
"frozenset({'Q8NGA5', 'P49407', 'TCR'})"
"frozenset({'O75052', 'Q92777', 'TCR'})"
"frozenset({'Q9BRK4', 'Q96PF2', 'TCR'})"
"frozenset({'P02545', 'Q99469', 'TCR'})"
"frozenset({'P28749', 'TCR', 'Q9P1U1'})"
"frozenset({'TCR', 'Q9UM01', 'Q96PU5'})"
"frozenset({'P60896', 'Q96EV2', 'TCR'})"
"frozenset({'Q9NVI7', 'P51858', 'TCR'})"
"frozenset({'TCR', 'P49639', 'Q05516'})"
"frozenset({'Q9UQ88', 'TCR', 'P33991'})"
"frozenset({'P11532', 'P02768', 'TCR'})"
"frozenset({'Q96PE7', 'Q96DZ9', 'TCR'})"
"frozenset({'P01106', 'Q9NSP4', 'TCR'})"
"frozenset({'Q8TEK3', 'P46379', 'TCR'})"
"frozenset({'P10644', 'TCR', 'P42345'})"
"frozenset({'P40855', 'Q8N9F0', 'TCR'})"
"frozenset({'TCR', 'Q9Y490', 'O75147'})"
"frozenset({'TCR', 'Q9HC52', 'Q8NDX5'})"
"frozenset({'Q8IY18', 'Q9NVP2', 'TCR'})"
"frozenset({'Q99759', 'P78527', 'TCR'})"
"frozenset({'P28838', 'Q06830', 'TCR'})"
"frozenset({'TCR', 'Q99496', 'P55769'})"
"frozenset({'Q9C0C9', 'P24941', 'TCR'})"
"frozenset({'Q9NPI1', 'Q96PG8', 'TCR'})"
"frozenset({'Q13573', 'O43929', 'TCR'})"
"frozenset({'Q8IWL3', 'O43837', 'TCR'})"
"frozenset({'Q96FV9', 'Q8NI27', 'TCR'})"
"frozenset({'TCR', 'Q13404', 'Q13191'})"
"frozenset({'Q7RTY1', 'Q9Y3B7', 'TCR'})"
"frozenset({'TCR', 'P09417', 'P00439'})"
"frozenset({'P26951', 'TCR', 'P0DML2'})"
"frozenset({'O60232', 'TCR', 'Q16659'})"
"frozenset({'O60260', 'Q71U36', 'TCR'})"
"frozenset({'TCR', 'P56537', 'Q99613'})"
"frozenset({'O15160', 'Q2NL82', 'TCR'})"
"frozenset({'Q9NY33', 'Q8NBF2', 'TCR'})"
"frozenset({'O15350', 'P48431', 'TCR'})"
"frozenset({'TCR', 'Q9H0U6', 'O95831'})"
"frozenset({'Q12905', 'P18583', 'TCR'})"
"frozenset({'O94829', 'P78337', 'TCR'})"
"frozenset({'P05412', 'Q14765', 'TCR'})"
"frozenset({'Q6ZN18', 'P01833', 'TCR'})"
"frozenset({'Q13162', 'Q2MV58', 'TCR'})"
"frozenset({'P46777', 'Q08211', 'TCR'})"
"frozenset({'O43561', 'O00329', 'TCR'})"
"frozenset({'P62241', 'P46778', 'TCR'})"
"frozenset({'Q53TS8', 'Q12933', 'TCR'})"
"frozenset({'P35244', 'Q15029', 'TCR'})"
"frozenset({'P22607', 'P08238', 'TCR'})"
"frozenset({'Q09028', 'Q9NR20', 'TCR'})"
"frozenset({'P01106', 'O43318', 'TCR'})"
"frozenset({'Q08752', 'P67870', 'TCR'})"
"frozenset({'TCR', 'P78364', 'Q9UN30'})"
"frozenset({'P28370', 'Q96T23', 'TCR'})"
"frozenset({'TCR', 'O75475', 'O00311'})"
"frozenset({'TCR', 'P17252', 'P08183'})"
"frozenset({'Q99614', 'Q8WVJ2', 'TCR'})"
"frozenset({'Q8TF46', 'Q6UWW0', 'TCR'})"
"frozenset({'Q9Y247', 'TCR', 'O76011'})"
