negatives
"frozenset({'O43390', 'Q6PJ61', 'Leptin'})"
"frozenset({'Leptin', 'Q9P2E9', 'P05412'})"
"frozenset({'Leptin', 'Q9NXF1', 'Q8IZL8'})"
"frozenset({'Q92569', 'P60763', 'Leptin'})"
"frozenset({'Leptin', 'Q8N3K9', 'Q9Y570'})"
"frozenset({'Leptin', 'Q9P2J8', 'P59991'})"
"frozenset({'Leptin', 'P12814', 'Q8N6T7'})"
"frozenset({'Q14938', 'P22670', 'Leptin'})"
"frozenset({'P12931', 'Q16595', 'Leptin'})"
"frozenset({'Leptin', 'Q8WVV9', 'Q9BQY4'})"
"frozenset({'Leptin', 'Q96HB5', 'P12830'})"
"frozenset({'Leptin', 'Q13242', 'Q15022'})"
"frozenset({'Q9UBN7', 'Leptin', 'Q9BQB6'})"
"frozenset({'O15372', 'Leptin', 'P60866'})"
"frozenset({'Q8N6U8', 'Leptin', 'P17612'})"
"frozenset({'Leptin', 'P52895', 'O43504'})"
"frozenset({'Leptin', 'O60832', 'P55769'})"
"frozenset({'P00533', 'Leptin', 'Q13144'})"
"frozenset({'Q9NQS3', 'Q9H444', 'Leptin'})"
"frozenset({'Leptin', 'Q96RY7', 'O95573'})"
"frozenset({'Leptin', 'Q9H4L7', 'Q96LK0'})"
"frozenset({'Leptin', 'Q96FJ2', 'O96015'})"
"frozenset({'Q13526', 'Leptin', 'P55212'})"
"frozenset({'Q9NNX1', 'Leptin', 'Q7Z4H7'})"
"frozenset({'Leptin', 'Q96GD4', 'Q7Z2W4'})"
"frozenset({'Leptin', 'P11142', 'P0DMV8'})"
"frozenset({'Leptin', 'P57721', 'O00422'})"
"frozenset({'O75937', 'Leptin', 'Q15843'})"
"frozenset({'O75925', 'Q01543', 'Leptin'})"
"frozenset({'Q14241', 'Leptin', 'Q96RE7'})"
"frozenset({'Leptin', 'P39060', 'P14151'})"
"frozenset({'Leptin', 'Q53SF7', 'Q13352'})"
"frozenset({'Leptin', 'Q9Y5L4', 'Q9Y376'})"
"frozenset({'Q6A162', 'Leptin', 'Q86XR8'})"
"frozenset({'Leptin', 'P05026', 'Q9UI09'})"
"frozenset({'Leptin', 'P13725', 'P09619'})"
"frozenset({'Leptin', 'P07900', 'Q8N4C8'})"
"frozenset({'O75925', 'Leptin', 'O75928'})"
"frozenset({'Leptin', 'O75530', 'P51149'})"
"frozenset({'O14777', 'Leptin', 'Q9Y6D9'})"
"frozenset({'Q9GZR5', 'Q86Y78', 'Leptin'})"
"frozenset({'Leptin', 'O43521', 'P34932'})"
"frozenset({'Leptin', 'P05412', 'Q9Y3F4'})"
"frozenset({'Leptin', 'O95267', 'O75688'})"
"frozenset({'P0C862', 'P35241', 'Leptin'})"
"frozenset({'Leptin', 'P43356', 'Q13263'})"
"frozenset({'Q92905', 'Leptin', 'Q5VTD9'})"
"frozenset({'Leptin', 'O75676', 'Q16539'})"
"frozenset({'Q6L8G8', 'Q969P0', 'Leptin'})"
"frozenset({'Leptin', 'P22695', 'O95292'})"
"frozenset({'Leptin', 'Q01974', 'Q9H1J7'})"
"frozenset({'Q9GZU7', 'Leptin', 'Q99618'})"
"frozenset({'Leptin', 'P38159', 'Q96RR1'})"
"frozenset({'P49411', 'P62910', 'Leptin'})"
"frozenset({'Leptin', 'P06239', 'P10966'})"
"frozenset({'Leptin', 'Q68D10', 'O95104'})"
"frozenset({'P01112', 'Leptin', 'P30304'})"
"frozenset({'Q16854', 'P59768', 'Leptin'})"
"frozenset({'P01889', 'Leptin', 'Q15365'})"
"frozenset({'Leptin', 'Q0ZGT2', 'Q16643'})"
"frozenset({'Leptin', 'P60328', 'Q6ZNH5'})"
"frozenset({'Leptin', 'O14654', 'O60884'})"
"frozenset({'Leptin', 'P23443', 'Q09472'})"
"frozenset({'Leptin', 'Q13873', 'P18075'})"
"frozenset({'Leptin', 'O43159', 'Q9UGY1'})"
"frozenset({'Leptin', 'O75534', 'P14923'})"
"frozenset({'P62714', 'Leptin', 'Q13310'})"
"frozenset({'Q8N8W4', 'Leptin', 'Q92526'})"
"frozenset({'Q15691', 'Leptin', 'P15374'})"
"frozenset({'Leptin', 'P49756', 'Q15287'})"
"frozenset({'P51813', 'Leptin', 'P20333'})"
"frozenset({'Q08379', 'Leptin', 'O95678'})"
"frozenset({'O75461', 'Leptin', 'Q8N488'})"
"frozenset({'Leptin', 'Q9H040', 'P20700'})"
"frozenset({'Q9H6Y5', 'Leptin', 'Q9Y6E0'})"
"frozenset({'Leptin', 'Q8TBK6', 'Q8NAV1'})"
"frozenset({'Q13428', 'Leptin', 'O75569'})"
"frozenset({'Leptin', 'Q15276', 'O15265'})"
"frozenset({'P29992', 'Leptin', 'P14555'})"
"frozenset({'Q9P0K7', 'Q99759', 'Leptin'})"
"frozenset({'Leptin', 'Q8N6C5', 'P05019'})"
"frozenset({'Leptin', 'P78396', 'P23508'})"
"frozenset({'P23458', 'Leptin', 'P29590'})"
"frozenset({'Leptin', 'Q86X19', 'P46531'})"
"frozenset({'Leptin', 'P13807', 'O43186'})"
"frozenset({'O75937', 'P52597', 'Leptin'})"
"frozenset({'Q6A162', 'O95363', 'Leptin'})"
"frozenset({'Leptin', 'Q8WXK3', 'O95989'})"
"frozenset({'Leptin', 'P05109', 'Q01664'})"
"frozenset({'Leptin', 'P11473', 'Q96L73'})"
"frozenset({'Leptin', 'P63167', 'Q9NVP4'})"
"frozenset({'Leptin', 'Q8N0Z3', 'Q96BD8'})"
"frozenset({'Q01955', 'Leptin', 'P13612'})"
"frozenset({'P62714', 'Leptin', 'P04083'})"
"frozenset({'Leptin', 'Q96A61', 'P61088'})"
"frozenset({'Q9H814', 'Leptin', 'O76071'})"
"frozenset({'P22694', 'Q96R45', 'Leptin'})"
"frozenset({'Leptin', 'Q14031', 'P26006'})"
"frozenset({'Leptin', 'Q86Z20', 'P18075'})"
"frozenset({'Leptin', 'Q9Y5B9', 'P0C5Z0'})"
"frozenset({'Q9NQT4', 'Q8N720', 'Leptin'})"
"frozenset({'Leptin', 'Q8NEY4', 'Q16864'})"
"frozenset({'P20839', 'Q9Y466', 'Leptin'})"
"frozenset({'Leptin', 'Q9H4L7', 'Q07955'})"
"frozenset({'Leptin', 'Q9Y240', 'Q9NR09'})"
"frozenset({'Leptin', 'P35228', 'P34932'})"
"frozenset({'Leptin', 'Q8TB72', 'Q9H1Y0'})"
"frozenset({'Leptin', 'Q9UHV9', 'Q14BN4'})"
"frozenset({'Leptin', 'P56182', 'Q9ULX7'})"
"frozenset({'Leptin', 'Q8N6Y0', 'P48047'})"
"frozenset({'Leptin', 'P46926', 'Q712K3'})"
"frozenset({'Leptin', 'P29353', 'P07949'})"
"frozenset({'Leptin', 'P06400', 'Q96FV9'})"
"frozenset({'Leptin', 'Q5T653', 'Q96AE4'})"
"frozenset({'Leptin', 'Q92831', 'Q8IXJ6'})"
"frozenset({'Q969H4', 'Leptin', 'Q13485'})"
"frozenset({'Q9H1M4', 'Leptin', 'Q8WWH4'})"
"frozenset({'Leptin', 'Q14676', 'P35250'})"
"frozenset({'Leptin', 'Q8WXX5', 'O95429'})"
"frozenset({'Leptin', 'P30480', 'P25205'})"
"frozenset({'P05023', 'Leptin', 'P20333'})"
"frozenset({'Leptin', 'O00411', 'Q9Y240'})"
"frozenset({'Q96SW2', 'Leptin', 'P08238'})"
"frozenset({'Q9UPN7', 'Leptin', 'P03372'})"
"frozenset({'Leptin', 'O15442', 'P24468'})"
"frozenset({'Q8NDI1', 'Leptin', 'Q9NWB7'})"
"frozenset({'Leptin', 'Q9BXP8', 'Q13485'})"
"frozenset({'Leptin', 'Q9Y5A9', 'Q13148'})"
"frozenset({'Leptin', 'P67809', 'O76094'})"
"frozenset({'Leptin', 'O15042', 'P01106'})"
"frozenset({'Leptin', 'P07195', 'P07741'})"
"frozenset({'Q15910', 'Leptin', 'Q96EP5'})"
"frozenset({'Leptin', 'Q96JB3', 'Q9P0K8'})"
"frozenset({'Leptin', 'Q14289', 'O43150'})"
"frozenset({'Leptin', 'P17844', 'P01100'})"
"frozenset({'Leptin', 'Q96L46', 'P05067'})"
"frozenset({'Leptin', 'P53350', 'P54274'})"
"frozenset({'Leptin', 'O75570', 'P01106'})"
"frozenset({'Leptin', 'P19438', 'P16615'})"
"frozenset({'Leptin', 'Q96N96', 'P01106'})"
"frozenset({'Q96ED9', 'Leptin', 'P15622'})"
"frozenset({'O15553', 'Leptin', 'P27348'})"
"frozenset({'Leptin', 'P31371', 'P08069'})"
"frozenset({'Q8WZ74', 'Leptin', 'Q9P2B4'})"
"frozenset({'Leptin', 'Q9UI26', 'P14618'})"
"frozenset({'Leptin', 'P29692', 'P09326'})"
"frozenset({'Leptin', 'P55072', 'Q9H9A5'})"
"frozenset({'P51116', 'Leptin', 'Q12933'})"
"frozenset({'Leptin', 'P36507', 'Q13573'})"
"frozenset({'Leptin', 'Q9UJZ1', 'P51149'})"
"frozenset({'P60484', 'Leptin', 'P25705'})"
"frozenset({'Q15436', 'Leptin', 'P53992'})"
"frozenset({'Leptin', 'Q86X83', 'Q00653'})"
"frozenset({'Q9HAU0', 'Leptin', 'Q96GD4'})"
"frozenset({'P47914', 'P18124', 'Leptin'})"
"frozenset({'Q96A32', 'Leptin', 'Q13464'})"
"frozenset({'Q9NQB0', 'Leptin', 'O00255'})"
"frozenset({'O95704', 'Leptin', 'O15530'})"
"frozenset({'P51692', 'Leptin', 'Q9NRG1'})"
"frozenset({'Leptin', 'Q9UHD9', 'P53816'})"
"frozenset({'P25054', 'Leptin', 'O75643'})"
"frozenset({'Q16891', 'Leptin', 'Q15800'})"
"frozenset({'Q13698', 'P22694', 'Leptin'})"
"frozenset({'Leptin', 'P38646', 'P18206'})"
"frozenset({'Leptin', 'Q15788', 'Q14994'})"
"frozenset({'Q9UMX5', 'Leptin', 'P49411'})"
"frozenset({'Leptin', 'P26373', 'Q99558'})"
"frozenset({'Q01484', 'Leptin', 'P12830'})"
"frozenset({'Q16401', 'Q99460', 'Leptin'})"
"frozenset({'P28066', 'Leptin', 'P02751'})"
"frozenset({'Leptin', 'P62987', 'P32969'})"
"frozenset({'Q01167', 'Leptin', 'P14316'})"
"frozenset({'Leptin', 'O75147', 'O43809'})"
"frozenset({'Q07889', 'P60763', 'Leptin'})"
"frozenset({'Leptin', 'Q969S2', 'P80188'})"
"frozenset({'Leptin', 'Q9BUY5', 'Q96Q77'})"
"frozenset({'O95631', 'Leptin', 'P43146'})"
"frozenset({'Leptin', 'Q9Y2I6', 'O43237'})"
"frozenset({'Leptin', 'O94972', 'Q96SQ5'})"
"frozenset({'Leptin', 'P28070', 'P41182'})"
"frozenset({'O43638', 'Q9Y5Q9', 'Leptin'})"
"frozenset({'Leptin', 'P62917', 'P26373'})"
"frozenset({'Leptin', 'P37198', 'Q8NDB6'})"
"frozenset({'Leptin', 'Q8NCP5', 'Q00887'})"
"frozenset({'P54253', 'Leptin', 'Q9Y6X8'})"
"frozenset({'Q07954', 'Leptin', 'P01127'})"
"frozenset({'Q5TC82', 'Leptin', 'Q8N163'})"
"frozenset({'P35442', 'Leptin', 'P26010'})"
"frozenset({'O43678', 'P09234', 'Leptin'})"
"frozenset({'Q9NVU0', 'Leptin', 'Q9H1D9'})"
"frozenset({'Q9BTM1', 'Leptin', 'Q7Z2G1'})"
"frozenset({'Leptin', 'Q6NYC1', 'Q6UXX9'})"
"frozenset({'P43243', 'Leptin', 'P55265'})"
"frozenset({'Q99728', 'Leptin', 'Q9Y2X7'})"
"frozenset({'Leptin', 'O14980', 'Q8N9W5'})"
"frozenset({'Leptin', 'Q14CZ7', 'P54886'})"
"frozenset({'Leptin', 'Q9BRX9', 'Q7Z7A1'})"
"frozenset({'P23634', 'Leptin', 'P12830'})"
"frozenset({'Leptin', 'Q9UGN5', 'Q6K0P9'})"
"frozenset({'P54253', 'Leptin', 'Q9H0E2'})"
"frozenset({'P49792', 'Leptin', 'Q9HAC8'})"
"frozenset({'Leptin', 'Q6UY14', 'O60573'})"
"frozenset({'Leptin', 'P21796', 'P60709'})"
"frozenset({'Q96L92', 'Leptin', 'Q15438'})"
"frozenset({'Leptin', 'P52803', 'P55157'})"
"frozenset({'O43808', 'Leptin', 'Q9UBU9'})"
"frozenset({'Leptin', 'P46782', 'Q00839'})"
"frozenset({'Leptin', 'P62913', 'P46778'})"
"frozenset({'Q9NPJ6', 'Leptin', 'Q13325'})"
"frozenset({'Leptin', 'Q9BT49', 'P62805'})"
"frozenset({'Leptin', 'O14610', 'O14827'})"
"frozenset({'Leptin', 'Q9P2W3', 'Q15619'})"
"frozenset({'Q9UBD3', 'Leptin', 'P51686'})"
"frozenset({'Leptin', 'P40189', 'P40763'})"
"frozenset({'Leptin', 'Q8NE31', 'Q5JR59'})"
"frozenset({'P0CAP2', 'Q9NZD4', 'Leptin'})"
"frozenset({'Leptin', 'Q9BZW7', 'Q9BS34'})"
"frozenset({'Leptin', 'P60014', 'P49639'})"
"frozenset({'Q9HAW4', 'Leptin', 'O95714'})"
"frozenset({'Leptin', 'O14576', 'P63172'})"
"frozenset({'P35558', 'Leptin', 'P10809'})"
"frozenset({'P08727', 'Leptin', 'Q7Z794'})"
"frozenset({'P62987', 'Q99759', 'Leptin'})"
"frozenset({'Leptin', 'P04350', 'Q9H6X2'})"
"frozenset({'P31151', 'Leptin', 'P28358'})"
"frozenset({'Leptin', 'Q9UQM7', 'Q8IW92'})"
"frozenset({'P22362', 'Leptin', 'P51677'})"
"frozenset({'Q9Y5S9', 'Leptin', 'P51572'})"
"frozenset({'Leptin', 'P27797', 'Q6IQ23'})"
"frozenset({'Leptin', 'Q03111', 'O00472'})"
"frozenset({'Leptin', 'Q8TBB1', 'O95073'})"
"frozenset({'P61026', 'Leptin', 'P26374'})"
"frozenset({'P48643', 'Q9Y572', 'Leptin'})"
"frozenset({'Leptin', 'P57721', 'P28715'})"
"frozenset({'Q9H0C5', 'Q06828', 'Leptin'})"
"frozenset({'Leptin', 'Q04206', 'Q07817'})"
"frozenset({'Leptin', 'Q9UQK1', 'O95685'})"
"frozenset({'P25054', 'Leptin', 'Q14032'})"
"frozenset({'Leptin', 'P62070', 'P50151'})"
"frozenset({'Leptin', 'P35269', 'P61289'})"
"frozenset({'Q93034', 'P63173', 'Leptin'})"
"frozenset({'Leptin', 'Q13043', 'P68366'})"
"frozenset({'Leptin', 'Q13404', 'Q9BYM8'})"
"frozenset({'Q16637', 'Leptin', 'P15880'})"
"frozenset({'Leptin', 'P62937', 'Q16822'})"
"frozenset({'Leptin', 'P62807', 'P05412'})"
"frozenset({'A5YKK6', 'Leptin', 'Q9UPQ9'})"
"frozenset({'P22087', 'Leptin', 'Q00403'})"
"frozenset({'Leptin', 'P27448', 'Q96ER3'})"
"frozenset({'Q701N4', 'Leptin', 'P49639'})"
"frozenset({'Leptin', 'Q5JVF3', 'Q9UKT9'})"
"frozenset({'Leptin', 'Q92900', 'P26368'})"
"frozenset({'Leptin', 'Q2KHM9', 'Q96T17'})"
"frozenset({'P57740', 'Leptin', 'Q8NF91'})"
"frozenset({'Leptin', 'P55072', 'Q9BUI4'})"
"frozenset({'Leptin', 'Q13283', 'P68400'})"
"frozenset({'P49736', 'Leptin', 'P61978'})"
"frozenset({'Q16595', 'Leptin', 'P04637'})"
"frozenset({'Leptin', 'P30480', 'Q8WUM4'})"
"frozenset({'Leptin', 'O43524', 'Q16539'})"
"frozenset({'P56705', 'Leptin', 'Q9H237'})"
"frozenset({'Leptin', 'P04629', 'Q15813'})"
"frozenset({'P45880', 'Leptin', 'Q04837'})"
"frozenset({'Leptin', 'P07858', 'Q9BPY3'})"
"frozenset({'Q86Y56', 'Q9UBP6', 'Leptin'})"
"frozenset({'Leptin', 'Q99877', 'Q96GD4'})"
"frozenset({'O95400', 'Leptin', 'Q15006'})"
"frozenset({'P08648', 'Leptin', 'P17301'})"
"frozenset({'Leptin', 'P21980', 'Q15427'})"
"frozenset({'Leptin', 'P28749', 'Q9UQ80'})"
"frozenset({'Leptin', 'P04629', 'P29218'})"
"frozenset({'Q6NZI2', 'Leptin', 'Q5T3F8'})"
"frozenset({'P49792', 'Q13043', 'Leptin'})"
"frozenset({'Leptin', 'P14678', 'Q15020'})"
"frozenset({'O75448', 'Leptin', 'Q93074'})"
"frozenset({'Q9P2S5', 'Leptin', 'Q96T58'})"
"frozenset({'P00533', 'Leptin', 'P18031'})"
"frozenset({'Q9NVU0', 'Q9Y230', 'Leptin'})"
"frozenset({'Q9Y6R0', 'Leptin', 'Q9Y5V3'})"
"frozenset({'Q01167', 'Leptin', 'O14641'})"
"frozenset({'Leptin', 'Q5SRD1', 'P05412'})"
"frozenset({'Leptin', 'Q15435', 'Q96MX6'})"
"frozenset({'Q9BWF3', 'Leptin', 'Q9BY44'})"
"frozenset({'Leptin', 'Q8TEA8', 'O75419'})"
"frozenset({'Leptin', 'Q96IX9', 'P36406'})"
"frozenset({'Leptin', 'Q9BYG5', 'Q8N8L6'})"
"frozenset({'Leptin', 'Q8IVS8', 'Q9GZV8'})"
"frozenset({'Leptin', 'Q15628', 'O15397'})"
"frozenset({'Q16656', 'Leptin', 'Q7Z3K3'})"
"frozenset({'P78337', 'Leptin', 'Q16348'})"
"frozenset({'P60484', 'Leptin', 'P49327'})"
"frozenset({'P46098', 'Leptin', 'O95264'})"
"frozenset({'Q9H0R8', 'Leptin', 'P35080'})"
"frozenset({'Leptin', 'P22460', 'Q03135'})"
"frozenset({'Leptin', 'O95721', 'Q9UKL0'})"
"frozenset({'Leptin', 'Q5SW79', 'Q68CZ1'})"
"frozenset({'Leptin', 'Q86TA1', 'P01106'})"
"frozenset({'Leptin', 'O94964', 'Q9H0W5'})"
"frozenset({'Leptin', 'P04406', 'O60684'})"
"frozenset({'Leptin', 'Q9H8Y8', 'P39023'})"
"frozenset({'P25024', 'Leptin', 'P55773'})"
"frozenset({'P62314', 'Leptin', 'Q9H492'})"
"frozenset({'Q14232', 'Leptin', 'P09651'})"
"frozenset({'Leptin', 'Q13370', 'O60760'})"
"frozenset({'Q9C009', 'Leptin', 'Q9Y3T9'})"
"frozenset({'P49915', 'P13612', 'Leptin'})"
"frozenset({'Leptin', 'Q8NHV4', 'Q96NL6'})"
"frozenset({'Leptin', 'P62851', 'P31947'})"
"frozenset({'Leptin', 'Q9NS73', 'P20700'})"
"frozenset({'Leptin', 'P61289', 'Q15287'})"
"frozenset({'Leptin', 'Q8IWZ5', 'Q9Y6H1'})"
"frozenset({'Q7Z6Z7', 'Leptin', 'P07195'})"
"frozenset({'Q8N8Y5', 'Leptin', 'Q9Y520'})"
"frozenset({'P35626', 'Leptin', 'Q8NGI9'})"
"frozenset({'Leptin', 'P14616', 'P42338'})"
"frozenset({'Leptin', 'Q9UGY1', 'Q02539'})"
"frozenset({'Leptin', 'Q6P0Q8', 'P06753'})"
"frozenset({'Q8IW45', 'Leptin', 'P60410'})"
"frozenset({'Leptin', 'Q9NP50', 'Q16576'})"
"frozenset({'P38405', 'Leptin', 'Q8NG95'})"
"frozenset({'P58753', 'Leptin', 'P49366'})"
"frozenset({'Q9H9H4', 'Leptin', 'O14980'})"
"frozenset({'P45983', 'Leptin', 'P53779'})"
"frozenset({'Leptin', 'P15927', 'P28340'})"
"frozenset({'Leptin', 'Q02790', 'Q16543'})"
"frozenset({'Leptin', 'P22830', 'Q7L5N1'})"
"frozenset({'Leptin', 'P62820', 'Q8N122'})"
"frozenset({'O75306', 'Leptin', 'Q12907'})"
"frozenset({'Q02363', 'Leptin', 'P62979'})"
"frozenset({'Leptin', 'O75794', 'P20042'})"
"frozenset({'P10275', 'Leptin', 'Q12756'})"
"frozenset({'Leptin', 'Q13200', 'O15169'})"
"frozenset({'Leptin', 'Q08752', 'P25685'})"
"frozenset({'Leptin', 'Q9BQ89', 'Q86SQ0'})"
"frozenset({'Q9NYS7', 'Leptin', 'Q93034'})"
"frozenset({'Leptin', 'Q9UJY5', 'P61204'})"
"frozenset({'O95832', 'Leptin', 'Q07108'})"
"frozenset({'P78337', 'Leptin', 'Q9BQY4'})"
"frozenset({'P51153', 'Leptin', 'Q01968'})"
"frozenset({'Leptin', 'Q8TB24', 'Q96DZ7'})"
"frozenset({'P04798', 'Q96P16', 'Leptin'})"
"frozenset({'O95155', 'Leptin', 'P82979'})"
"frozenset({'Q9H0R8', 'P37802', 'Leptin'})"
"frozenset({'Leptin', 'P13612', 'P17987'})"
"frozenset({'Q92624', 'Leptin', 'Q9NS86'})"
"frozenset({'Q8IWL3', 'Leptin', 'O43823'})"
"frozenset({'Q92481', 'Leptin', 'O14965'})"
"frozenset({'Leptin', 'P30450', 'Q5JWF2'})"
"frozenset({'Leptin', 'Q8TEP8', 'P28340'})"
"frozenset({'Q8NBT0', 'Leptin', 'P50991'})"
"frozenset({'Leptin', 'Q7Z3K3', 'Q9P0K8'})"
"frozenset({'P23229', 'Leptin', 'P10321'})"
"frozenset({'P35998', 'Leptin', 'P62993'})"
"frozenset({'P23258', 'Leptin', 'P0DMV8'})"
"frozenset({'O95751', 'Leptin', 'Q15561'})"
"frozenset({'Leptin', 'P21580', 'Q8WXI2'})"
"frozenset({'Leptin', 'P07900', 'P68400'})"
"frozenset({'Leptin', 'O00165', 'P21579'})"
"frozenset({'Q15654', 'Leptin', 'Q8N4L8'})"
"frozenset({'Leptin', 'Q8IUH5', 'P09543'})"
"frozenset({'Leptin', 'O75147', 'P05141'})"
"frozenset({'Leptin', 'Q8WYR1', 'P04899'})"
"frozenset({'Leptin', 'P04439', 'Q8N423'})"
"frozenset({'Leptin', 'P62847', 'Q13813'})"
"frozenset({'Leptin', 'Q9Y333', 'Q6P2Q9'})"
"frozenset({'Q3ZCM7', 'Leptin', 'Q6P1J9'})"
"frozenset({'Q9H0R8', 'Leptin', 'P68371'})"
"frozenset({'Leptin', 'Q96LA8', 'P15408'})"
"frozenset({'Leptin', 'Q96NX5', 'Q96BA8'})"
"frozenset({'Q13526', 'Leptin', 'O75398'})"
"frozenset({'Leptin', 'P25325', 'A5PLL7'})"
"frozenset({'Q9ULM6', 'Leptin', 'P26651'})"
"frozenset({'Leptin', 'P05412', 'Q12874'})"
"frozenset({'Q96EL3', 'Leptin', 'P63279'})"
"frozenset({'Q9NUX5', 'Leptin', 'Q14749'})"
"frozenset({'Leptin', 'Q9BYD6', 'Q8N983'})"
"frozenset({'Leptin', 'O43167', 'Q12933'})"
"frozenset({'Q15654', 'Leptin', 'P54646'})"
"frozenset({'Leptin', 'Q9Y2V2', 'O00141'})"
"frozenset({'P61964', 'Q66K80', 'Leptin'})"
"frozenset({'P80098', 'Leptin', 'P61073'})"
"frozenset({'O00625', 'Q9BWD1', 'Leptin'})"
"frozenset({'Q9Y230', 'Leptin', 'Q9NSA3'})"
"frozenset({'O95166', 'Leptin', 'P06576'})"
"frozenset({'Leptin', 'Q9P1U0', 'Q15233'})"
"frozenset({'Leptin', 'Q7Z2W7', 'P62136'})"
"frozenset({'Q9BXF6', 'Leptin', 'Q99523'})"
"frozenset({'Leptin', 'Q07869', 'P07900'})"
"frozenset({'P60369', 'Leptin', 'Q15274'})"
"frozenset({'P35626', 'Leptin', 'Q8NGV0'})"
"frozenset({'Leptin', 'P18124', 'P42677'})"
"frozenset({'Leptin', 'P25098', 'Q8WZ84'})"
"frozenset({'Leptin', 'P04275', 'Q76LX8'})"
"frozenset({'Q8TDX7', 'Leptin', 'Q8TD19'})"
"frozenset({'Leptin', 'Q99967', 'Q9UKA1'})"
"frozenset({'O43586', 'Leptin', 'Q9UMN6'})"
"frozenset({'Leptin', 'P27816', 'P24928'})"
"frozenset({'P78367', 'Leptin', 'Q16576'})"
"frozenset({'Q14164', 'Leptin', 'Q9Y3F4'})"
"frozenset({'Q7Z449', 'Leptin', 'P01106'})"
"frozenset({'Q93034', 'Leptin', 'P05412'})"
"frozenset({'Q9H5K3', 'O60512', 'Leptin'})"
"frozenset({'P54136', 'Leptin', 'Q15287'})"
"frozenset({'P16104', 'Leptin', 'P27797'})"
"frozenset({'Q8IUE6', 'Leptin', 'Q93079'})"
"frozenset({'Leptin', 'P28221', 'P62879'})"
"frozenset({'P42167', 'Leptin', 'O14646'})"
"frozenset({'Leptin', 'Q6NTF7', 'P05067'})"
"frozenset({'P30042', 'Leptin', 'P05067'})"
"frozenset({'P78356', 'Leptin', 'P06396'})"
"frozenset({'Leptin', 'P06239', 'P15498'})"
"frozenset({'Leptin', 'Q96HS1', 'Q05516'})"
"frozenset({'Leptin', 'Q13098', 'Q13617'})"
"frozenset({'Leptin', 'P05067', 'Q8N264'})"
"frozenset({'Leptin', 'Q49AN0', 'P42704'})"
"frozenset({'Leptin', 'O60568', 'P24534'})"
"frozenset({'Leptin', 'P23527', 'P49407'})"
"frozenset({'P27694', 'Leptin', 'P62081'})"
"frozenset({'Q9UK58', 'Leptin', 'Q9UBB9'})"
"frozenset({'Leptin', 'Q13309', 'Q13950'})"
"frozenset({'O75581', 'Leptin', 'Q9BXB1'})"
"frozenset({'Leptin', 'P49768', 'Q9NZ42'})"
"frozenset({'P16104', 'Leptin', 'Q9NY27'})"
"frozenset({'Leptin', 'Q9UQF2', 'Q16584'})"
"frozenset({'Q6UX34', 'Leptin', 'Q96AG4'})"
"frozenset({'P04843', 'Q9Y5U4', 'Leptin'})"
"frozenset({'Q01469', 'P52209', 'Leptin'})"
"frozenset({'Leptin', 'P49917', 'P03905'})"
"frozenset({'Q9P2P5', 'Leptin', 'P99999'})"
"frozenset({'P19367', 'Leptin', 'P55055'})"
"frozenset({'Q92581', 'Leptin', 'Q9H6D8'})"
"frozenset({'Leptin', 'Q9BTE3', 'Q8IVT5'})"
"frozenset({'Leptin', 'Q9Y5Y6', 'Q9NRA1'})"
"frozenset({'O60260', 'Leptin', 'Q13148'})"
"frozenset({'Leptin', 'Q2TAL8', 'Q13643'})"
"frozenset({'P00533', 'Leptin', 'O94832'})"
"frozenset({'Leptin', 'P28074', 'Q969U7'})"
"frozenset({'Q13077', 'Leptin', 'Q15915'})"
"frozenset({'Leptin', 'Q13315', 'P35251'})"
"frozenset({'Q9UNN5', 'Leptin', 'P24386'})"
"frozenset({'Leptin', 'Q9UKX5', 'P56945'})"
"frozenset({'Leptin', 'Q9Y3B1', 'Q15717'})"
"frozenset({'Leptin', 'Q8TDR0', 'Q9NYB9'})"
"frozenset({'O15381', 'Leptin', 'Q9UPV0'})"
"frozenset({'Q9Y2S2', 'Leptin', 'Q15717'})"
"frozenset({'Q5RKV6', 'Leptin', 'Q07021'})"
"frozenset({'Leptin', 'Q7RTT5', 'O43623'})"
"frozenset({'Leptin', 'Q16777', 'Q93079'})"
"frozenset({'P16333', 'Leptin', 'P55157'})"
"frozenset({'Q13112', 'Leptin', 'Q96LI5'})"
"frozenset({'Q96MC6', 'Leptin', 'P61218'})"
"frozenset({'Q96A54', 'Leptin', 'P25098'})"
"frozenset({'Leptin', 'Q13618', 'Q15287'})"
"frozenset({'O75351', 'Leptin', 'Q9NP79'})"
"frozenset({'Q99459', 'Q9UNP9', 'Leptin'})"
"frozenset({'Q9NWT6', 'Leptin', 'P56880'})"
"frozenset({'Leptin', 'Q8TCE9', 'Q5JR12'})"
"frozenset({'Q9Y253', 'Leptin', 'Q9NRC8'})"
"frozenset({'Leptin', 'Q09161', 'Q86U42'})"
"frozenset({'Leptin', 'P42224', 'P14735'})"
"frozenset({'Leptin', 'P60709', 'P63104'})"
"frozenset({'Leptin', 'Q5T5S1', 'Q4V328'})"
"frozenset({'Leptin', 'Q96KQ4', 'Q8NHQ8'})"
"frozenset({'Q9P244', 'Leptin', 'Q8TC76'})"
"frozenset({'Leptin', 'P62937', 'Q9NZ81'})"
"frozenset({'Q8NE86', 'Leptin', 'Q9Y3E0'})"
"frozenset({'Leptin', 'O15355', 'Q14974'})"
