negatives
"frozenset({'Q9BPW8', 'TSH', 'P41220'})"
"frozenset({'TSH', 'O60506', 'P46087'})"
"frozenset({'TSH', 'Q9BSE5', 'P06756'})"
"frozenset({'TSH', 'O00409', 'Q86YZ3'})"
"frozenset({'TSH', 'P14373', 'O60573'})"
"frozenset({'TSH', 'O60664', 'Q13596'})"
"frozenset({'TSH', 'Q9UKW4', 'P42681'})"
"frozenset({'TSH', 'O15391', 'P04637'})"
"frozenset({'TSH', 'P01308', 'P04792'})"
"frozenset({'TSH', 'O95274', 'Q6YHU6'})"
"frozenset({'TSH', 'P62873', 'Q6IFN5'})"
"frozenset({'P59817', 'P0DP23', 'TSH'})"
"frozenset({'Q99814', 'O14746', 'TSH'})"
"frozenset({'TSH', 'O95400', 'Q5S007'})"
"frozenset({'TSH', 'Q15910', 'Q9H0B6'})"
"frozenset({'TSH', 'Q15527', 'Q96PK6'})"
"frozenset({'TSH', 'P51668', 'Q8NHY2'})"
"frozenset({'TSH', 'Q9UM11', 'Q9H040'})"
"frozenset({'TSH', 'Q5VST9', 'Q01484'})"
"frozenset({'TSH', 'Q8N6N3', 'Q96L14'})"
"frozenset({'Q12905', 'P32969', 'TSH'})"
"frozenset({'TSH', 'Q06323', 'Q16186'})"
"frozenset({'TSH', 'Q53GL7', 'O14976'})"
"frozenset({'TSH', 'P42677', 'P62854'})"
"frozenset({'Q15717', 'Q8N2A8', 'TSH'})"
"frozenset({'TSH', 'Q01196', 'Q07108'})"
"frozenset({'TSH', 'Q9BWW4', 'Q9H9S0'})"
"frozenset({'TSH', 'P15918', 'P09429'})"
"frozenset({'TSH', 'Q13509', 'Q9H2C0'})"
"frozenset({'TSH', 'Q13464', 'Q8TAT5'})"
"frozenset({'TSH', 'Q9UBX2', 'Q13885'})"
"frozenset({'TSH', 'P60953', 'Q9H3Q1'})"
"frozenset({'TSH', 'P36873', 'O75901'})"
"frozenset({'P12931', 'P50570', 'TSH'})"
"frozenset({'TSH', 'Q9Y5U9', 'P01037'})"
"frozenset({'TSH', 'P40763', 'P08631'})"
"frozenset({'TSH', 'Q01844', 'P69849'})"
"frozenset({'TSH', 'P19320', 'P62316'})"
"frozenset({'TSH', 'O00762', 'Q04206'})"
"frozenset({'Q9UKB1', 'P82650', 'TSH'})"
"frozenset({'P40424', 'P17481', 'TSH'})"
"frozenset({'Q06124', 'Q8WWW8', 'TSH'})"
"frozenset({'TSH', 'O43167', 'Q9BYV9'})"
"frozenset({'TSH', 'Q92830', 'O15198'})"
"frozenset({'TSH', 'P48668', 'Q14999'})"
"frozenset({'TSH', 'Q9NWM8', 'O95757'})"
"frozenset({'Q96N11', 'Q9UL03', 'TSH'})"
"frozenset({'TSH', 'O43707', 'Q8N726'})"
"frozenset({'TSH', 'Q14974', 'P27105'})"
"frozenset({'Q15717', 'Q86W42', 'TSH'})"
"frozenset({'TSH', 'P22694', 'Q8NGK9'})"
"frozenset({'TSH', 'Q6FHJ7', 'Q9H4B7'})"
"frozenset({'O75478', 'Q9UHX1', 'TSH'})"
"frozenset({'TSH', 'P62424', 'Q96L21'})"
"frozenset({'TSH', 'Q8NBV4', 'P54259'})"
"frozenset({'TSH', 'Q9BZE1', 'Q2NL82'})"
"frozenset({'TSH', 'Q13595', 'Q8TAD8'})"
"frozenset({'Q9H1A4', 'O95067', 'TSH'})"
"frozenset({'TSH', 'Q02750', 'P53004'})"
"frozenset({'TSH', 'P01106', 'Q86XR8'})"
"frozenset({'TSH', 'P49756', 'P43246'})"
"frozenset({'Q9H845', 'TSH', 'O75489'})"
"frozenset({'Q13637', 'Q9HCE1', 'TSH'})"
"frozenset({'P12931', 'O15111', 'TSH'})"
"frozenset({'Q86VG3', 'Q9HBG6', 'TSH'})"
"frozenset({'TSH', 'P14635', 'Q01105'})"
"frozenset({'Q9BUZ4', 'Q8NCA9', 'TSH'})"
"frozenset({'Q8WX93', 'P31749', 'TSH'})"
"frozenset({'P06239', 'Q13177', 'TSH'})"
"frozenset({'TSH', 'O60447', 'Q96BZ8'})"
"frozenset({'TSH', 'P26196', 'Q7Z417'})"
"frozenset({'TSH', 'P25098', 'Q8NH69'})"
"frozenset({'Q53F19', 'Q86W42', 'TSH'})"
"frozenset({'Q15831', 'Q9P1Z9', 'TSH'})"
"frozenset({'TSH', 'Q15415', 'P49761'})"
"frozenset({'TSH', 'Q8N5Y2', 'P01106'})"
"frozenset({'TSH', 'A8MQ03', 'Q8NEG0'})"
"frozenset({'O75506', 'TSH', 'P34932'})"
"frozenset({'P12004', 'P11387', 'TSH'})"
"frozenset({'TSH', 'O43390', 'Q9NR22'})"
"frozenset({'P41236', 'Q6ZYL4', 'TSH'})"
"frozenset({'TSH', 'Q9BSE4', 'P55061'})"
"frozenset({'Q8IV04', 'P26371', 'TSH'})"
"frozenset({'Q15366', 'Q9UL18', 'TSH'})"
"frozenset({'P78536', 'O15530', 'TSH'})"
"frozenset({'TSH', 'O14980', 'O15372'})"
"frozenset({'TSH', 'O95630', 'Q9Y3E7'})"
"frozenset({'TSH', 'Q99460', 'P25788'})"
"frozenset({'TSH', 'Q99571', 'Q9NR50'})"
"frozenset({'TSH', 'Q99614', 'P49591'})"
"frozenset({'TSH', 'Q13794', 'O43521'})"
"frozenset({'TSH', 'Q08493', 'P22694'})"
"frozenset({'TSH', 'O14980', 'Q9NW61'})"
"frozenset({'TSH', 'P54198', 'P24928'})"
"frozenset({'TSH', 'P21283', 'Q9Y6Y0'})"
"frozenset({'TSH', 'Q9NVI7', 'P43307'})"
"frozenset({'P08842', 'P01023', 'TSH'})"
"frozenset({'Q6ZU80', 'Q9NQC7', 'TSH'})"
"frozenset({'TSH', 'Q15797', 'Q96RN5'})"
"frozenset({'TSH', 'P49356', 'Q96ED9'})"
"frozenset({'O14530', 'P14373', 'TSH'})"
"frozenset({'TSH', 'Q9P0N5', 'Q9Y678'})"
"frozenset({'P42768', 'P63000', 'TSH'})"
"frozenset({'P61978', 'TSH', 'P34932'})"
"frozenset({'TSH', 'P19338', 'P68400'})"
"frozenset({'TSH', 'P04629', 'Q9NRF8'})"
"frozenset({'Q03164', 'Q6UXN9', 'TSH'})"
"frozenset({'TSH', 'Q15436', 'Q96G46'})"
"frozenset({'TSH', 'P17861', 'Q9UK33'})"
"frozenset({'TSH', 'Q9NZE8', 'Q9NP92'})"
"frozenset({'TSH', 'O14920', 'Q3ZCQ8'})"
"frozenset({'TSH', 'O75038', 'Q02156'})"
"frozenset({'TSH', 'P23246', 'P62316'})"
"frozenset({'TSH', 'Q9GZZ1', 'P05412'})"
"frozenset({'O00232', 'O00487', 'TSH'})"
"frozenset({'TSH', 'P07437', 'P49736'})"
"frozenset({'Q13616', 'Q9Y230', 'TSH'})"
"frozenset({'TSH', 'Q6WKZ4', 'Q8NHQ8'})"
"frozenset({'TSH', 'P05067', 'Q9BWX1'})"
"frozenset({'Q9NP66', 'TSH', 'Q5R372'})"
"frozenset({'TSH', 'Q9NUQ2', 'O00716'})"
"frozenset({'TSH', 'A8MQ03', 'Q3LI76'})"
"frozenset({'TSH', 'O15409', 'P08238'})"
"frozenset({'P16104', 'Q8TF05', 'TSH'})"
"frozenset({'TSH', 'Q96ES7', 'O94864'})"
"frozenset({'TSH', 'P36578', 'Q13148'})"
"frozenset({'TSH', 'Q02878', 'Q9UNX3'})"
"frozenset({'TSH', 'Q16584', 'O14920'})"
"frozenset({'TSH', 'Q9UER7', 'O15151'})"
"frozenset({'TSH', 'Q53ET0', 'P16220'})"
"frozenset({'TSH', 'Q6PCD5', 'P62979'})"
"frozenset({'TSH', 'Q6UN15', 'Q9UQ35'})"
"frozenset({'Q9UHQ1', 'Q9UJU2', 'TSH'})"
"frozenset({'TSH', 'Q9C0B5', 'Q86X19'})"
"frozenset({'TSH', 'P04637', 'Q13547'})"
"frozenset({'TSH', 'Q9NXE4', 'Q86X19'})"
"frozenset({'Q04637', 'Q13636', 'TSH'})"
"frozenset({'Q9ULE0', 'P17252', 'TSH'})"
"frozenset({'P20671', 'O95644', 'TSH'})"
"frozenset({'TSH', 'P86480', 'Q8WYB5'})"
"frozenset({'P04908', 'P18621', 'TSH'})"
"frozenset({'TSH', 'P54646', 'Q9UBI6'})"
"frozenset({'TSH', 'Q969Q1', 'P31937'})"
"frozenset({'TSH', 'Q9NU53', 'O43286'})"
"frozenset({'Q7L0Q8', 'P23588', 'TSH'})"
"frozenset({'TSH', 'P61604', 'O75874'})"
"frozenset({'TSH', 'Q99877', 'Q99878'})"
"frozenset({'TSH', 'P48436', 'O43623'})"
"frozenset({'P11684', 'Q13049', 'TSH'})"
"frozenset({'TSH', 'O60664', 'Q96DZ9'})"
"frozenset({'TSH', 'P08697', 'P00747'})"
"frozenset({'TSH', 'P30154', 'P62491'})"
"frozenset({'Q9H492', 'P42858', 'TSH'})"
"frozenset({'TSH', 'P48730', 'P30291'})"
"frozenset({'TSH', 'P49768', 'O95551'})"
"frozenset({'TSH', 'P60568', 'Q13261'})"
"frozenset({'TSH', 'Q99848', 'P46063'})"
"frozenset({'TSH', 'Q96GS4', 'Q9BXY8'})"
"frozenset({'TSH', 'P42702', 'P23458'})"
"frozenset({'TSH', 'P06748', 'Q8NC51'})"
"frozenset({'Q15025', 'Q3LI64', 'TSH'})"
"frozenset({'TSH', 'P45973', 'Q96JM2'})"
"frozenset({'TSH', 'Q9NYL9', 'P46940'})"
"frozenset({'TSH', 'Q99999', 'Q00888'})"
"frozenset({'TSH', 'O43818', 'P68400'})"
"frozenset({'TSH', 'Q9NSK0', 'Q8IYX8'})"
"frozenset({'TSH', 'P80370', 'O43427'})"
"frozenset({'TSH', 'Q9UQ80', 'P22626'})"
"frozenset({'TSH', 'P12830', 'P20810'})"
"frozenset({'TSH', 'Q9H6L5', 'Q07021'})"
"frozenset({'TSH', 'Q6P4A7', 'Q8WWC4'})"
"frozenset({'TSH', 'Q49A88', 'Q5T013'})"
"frozenset({'TSH', 'P62195', 'Q49AN0'})"
"frozenset({'TSH', 'Q96BQ3', 'P58340'})"
"frozenset({'TSH', 'Q6ZRY4', 'P19801'})"
"frozenset({'TSH', 'P54578', 'P61073'})"
"frozenset({'TSH', 'O15031', 'P19174'})"
"frozenset({'TSH', 'P42166', 'P32121'})"
"frozenset({'P39023', 'P49757', 'TSH'})"
"frozenset({'TSH', 'P16520', 'Q08722'})"
"frozenset({'TSH', 'P14618', 'P13612'})"
"frozenset({'Q92784', 'P19784', 'TSH'})"
"frozenset({'TSH', 'Q9UFC0', 'Q08050'})"
"frozenset({'TSH', 'Q9Y4K3', 'P22888'})"
"frozenset({'Q9BQB4', 'O75197', 'TSH'})"
"frozenset({'TSH', 'Q6ZW31', 'Q9BST9'})"
"frozenset({'TSH', 'P62877', 'P23769'})"
"frozenset({'P26368', 'P51149', 'TSH'})"
"frozenset({'Q9NVH2', 'Q9NVM9', 'TSH'})"
"frozenset({'TSH', 'Q9UER7', 'Q8NCY6'})"
"frozenset({'TSH', 'Q9Y2R2', 'P10912'})"
"frozenset({'TSH', 'P49674', 'O00507'})"
"frozenset({'TSH', 'Q9UBG3', 'Q9Y2K1'})"
"frozenset({'TSH', 'Q8IU54', 'Q9HC73'})"
"frozenset({'TSH', 'P08620', 'Q01860'})"
"frozenset({'TSH', 'O00463', 'Q9NS68'})"
"frozenset({'Q8NGL2', 'P62873', 'TSH'})"
"frozenset({'TSH', 'Q9Y6D5', 'Q9Y6D6'})"
"frozenset({'TSH', 'O75688', 'Q9Y6K9'})"
"frozenset({'TSH', 'Q9UIL8', 'P01579'})"
"frozenset({'TSH', 'O94916', 'P00519'})"
"frozenset({'Q2MV58', 'TSH', 'P14314'})"
"frozenset({'TSH', 'Q8NCA5', 'P35637'})"
"frozenset({'TSH', 'P62736', 'P04637'})"
"frozenset({'TSH', 'P14406', 'Q9C002'})"
"frozenset({'TSH', 'Q8NAX2', 'P12830'})"
"frozenset({'TSH', 'Q8IY67', 'Q12834'})"
"frozenset({'Q5T447', 'TSH', 'P38398'})"
"frozenset({'TSH', 'P78556', 'P25024'})"
"frozenset({'P0C7P0', 'Q9H078', 'TSH'})"
"frozenset({'TSH', 'Q7L804', 'O95782'})"
"frozenset({'TSH', 'O60248', 'Q96LI6'})"
"frozenset({'TSH', 'Q96MW7', 'Q9H6L5'})"
"frozenset({'TSH', 'P22612', 'Q8NGZ5'})"
"frozenset({'TSH', 'P62993', 'P35916'})"
"frozenset({'P45983', 'Q9UDY2', 'TSH'})"
"frozenset({'TSH', 'P27635', 'Q9BYJ9'})"
"frozenset({'TSH', 'Q9ULK4', 'P11473'})"
"frozenset({'TSH', 'P07814', 'Q86XP3'})"
"frozenset({'TSH', 'O95487', 'P55735'})"
"frozenset({'Q86UZ6', 'Q9H9B1', 'TSH'})"
"frozenset({'TSH', 'Q9H0R8', 'P35527'})"
"frozenset({'TSH', 'Q9UBK9', 'Q9BYV6'})"
"frozenset({'TSH', 'Q9UHD2', 'Q92974'})"
"frozenset({'TSH', 'P30511', 'P43626'})"
"frozenset({'TSH', 'P47893', 'P32121'})"
"frozenset({'TSH', 'Q13724', 'Q9H4L4'})"
"frozenset({'TSH', 'O75208', 'O94805'})"
"frozenset({'TSH', 'Q99638', 'P10415'})"
"frozenset({'TSH', 'P21675', 'P40692'})"
"frozenset({'TSH', 'P29972', 'O15496'})"
"frozenset({'TSH', 'Q9BRR9', 'P63000'})"
"frozenset({'TSH', 'P61962', 'Q12815'})"
"frozenset({'TSH', 'P29350', 'O00459'})"
"frozenset({'TSH', 'P62955', 'Q969Q6'})"
"frozenset({'TSH', 'Q13216', 'P55072'})"
"frozenset({'P41223', 'Q13595', 'TSH'})"
"frozenset({'TSH', 'Q9Y2D8', 'Q15654'})"
"frozenset({'TSH', 'P60409', 'Q6P158'})"
"frozenset({'TSH', 'Q969G2', 'Q9BWG4'})"
"frozenset({'TSH', 'P26639', 'P38398'})"
"frozenset({'TSH', 'Q9Y6E0', 'P42704'})"
"frozenset({'TSH', 'P21802', 'P01116'})"
"frozenset({'TSH', 'Q15006', 'Q8WW12'})"
"frozenset({'Q8TDR0', 'TSH', 'P18124'})"
"frozenset({'TSH', 'Q3B8N2', 'O00182'})"
"frozenset({'TSH', 'P61165', 'Q8NBX0'})"
"frozenset({'TSH', 'Q07627', 'Q16540'})"
"frozenset({'TSH', 'P19838', 'Q9H3D4'})"
"frozenset({'TSH', 'Q96PN8', 'Q08379'})"
"frozenset({'TSH', 'Q9UBE8', 'Q2TAL8'})"
"frozenset({'TSH', 'Q9Y5P8', 'Q9NY47'})"
"frozenset({'TSH', 'P47897', 'P41091'})"
"frozenset({'TSH', 'Q8IWU4', 'Q96BA8'})"
"frozenset({'TSH', 'Q86SX6', 'P25705'})"
"frozenset({'TSH', 'Q4ZIN3', 'O43825'})"
"frozenset({'TSH', 'Q8TAK6', 'Q8TEW6'})"
"frozenset({'TSH', 'P67809', 'Q2NL82'})"
"frozenset({'TSH', 'Q8N143', 'Q13547'})"
"frozenset({'TSH', 'Q7L0Y3', 'Q01860'})"
"frozenset({'TSH', 'Q9Y2X7', 'P30519'})"
"frozenset({'TSH', 'Q96HA1', 'Q08379'})"
"frozenset({'TSH', 'Q15057', 'Q9HCE7'})"
"frozenset({'TSH', 'Q8IVB5', 'Q9UBU9'})"
"frozenset({'P48039', 'Q7Z5K2', 'TSH'})"
"frozenset({'TSH', 'Q05397', 'Q15759'})"
"frozenset({'TSH', 'O94855', 'O95486'})"
"frozenset({'P61626', 'Q9UBS0', 'TSH'})"
"frozenset({'TSH', 'Q96A09', 'Q8HWS3'})"
"frozenset({'Q8N7H5', 'O75150', 'TSH'})"
"frozenset({'TSH', 'O96000', 'O95299'})"
"frozenset({'TSH', 'P21781', 'P16234'})"
"frozenset({'TSH', 'P13501', 'Q15654'})"
"frozenset({'TSH', 'Q68E01', 'P81877'})"
"frozenset({'TSH', 'O15455', 'Q9UHD2'})"
"frozenset({'TSH', 'Q13813', 'Q14164'})"
"frozenset({'P78317', 'O43318', 'TSH'})"
"frozenset({'Q9BVK8', 'Q96GF1', 'TSH'})"
"frozenset({'TSH', 'O00217', 'P61020'})"
"frozenset({'Q9UP95', 'TSH', 'Q15884'})"
"frozenset({'TSH', 'Q9P0J7', 'Q01860'})"
"frozenset({'Q9H492', 'P46777', 'TSH'})"
"frozenset({'Q9Y265', 'Q9H9F9', 'TSH'})"
"frozenset({'TSH', 'P08670', 'Q9NRH1'})"
"frozenset({'TSH', 'Q96FJ0', 'A2RU54'})"
"frozenset({'TSH', 'P05412', 'P14868'})"
"frozenset({'TSH', 'P06493', 'O15151'})"
"frozenset({'TSH', 'O60341', 'Q9Y4E5'})"
"frozenset({'Q9BUZ4', 'P35579', 'TSH'})"
"frozenset({'O00499', 'O00401', 'TSH'})"
"frozenset({'TSH', 'Q04864', 'P42773'})"
"frozenset({'TSH', 'P24522', 'Q12873'})"
"frozenset({'P62745', 'Q96HP0', 'TSH'})"
"frozenset({'Q15717', 'Q6DCA0', 'TSH'})"
"frozenset({'TSH', 'Q13177', 'P31947'})"
"frozenset({'Q15007', 'O00505', 'TSH'})"
"frozenset({'TSH', 'Q96S15', 'Q9NXC5'})"
"frozenset({'TSH', 'P60370', 'Q9UHI7'})"
"frozenset({'TSH', 'Q9HAU0', 'P17661'})"
"frozenset({'TSH', 'Q9Y4K4', 'P04629'})"
"frozenset({'Q9UMS0', 'Q9H190', 'TSH'})"
"frozenset({'TSH', 'P26038', 'P16150'})"
"frozenset({'P46094', 'P19875', 'TSH'})"
"frozenset({'TSH', 'O43739', 'Q969H4'})"
"frozenset({'P28370', 'P34947', 'TSH'})"
"frozenset({'TSH', 'P04004', 'P62280'})"
"frozenset({'Q96GG9', 'Q15369', 'TSH'})"
"frozenset({'Q96L08', 'P48594', 'TSH'})"
"frozenset({'TSH', 'Q6NZI2', 'Q9UKN8'})"
"frozenset({'Q8IWL3', 'Q96E22', 'TSH'})"
"frozenset({'TSH', 'Q15637', 'P61088'})"
"frozenset({'TSH', 'P15927', 'O95816'})"
"frozenset({'TSH', 'Q01968', 'P68032'})"
"frozenset({'TSH', 'O43852', 'Q92747'})"
"frozenset({'TSH', 'Q12933', 'Q06187'})"
"frozenset({'Q01804', 'P78386', 'TSH'})"
"frozenset({'TSH', 'P37231', 'Q96CV9'})"
"frozenset({'O15504', 'TSH', 'Q8TEM1'})"
"frozenset({'TSH', 'Q13151', 'O94817'})"
"frozenset({'TSH', 'P62899', 'Q9UHB9'})"
"frozenset({'Q9NSC5', 'Q96FJ2', 'TSH'})"
"frozenset({'TSH', 'O95218', 'P62987'})"
"frozenset({'TSH', 'P48730', 'Q9Y6Q9'})"
"frozenset({'TSH', 'O14594', 'P32004'})"
"frozenset({'TSH', 'Q96B67', 'Q8IWZ5'})"
"frozenset({'Q9UPZ6', 'O43150', 'TSH'})"
"frozenset({'TSH', 'O95793', 'P60709'})"
"frozenset({'TSH', 'P62140', 'Q9H6T3'})"
"frozenset({'TSH', 'P57078', 'P22695'})"
"frozenset({'Q86VP6', 'P09104', 'TSH'})"
"frozenset({'TSH', 'Q9BY08', 'Q8WUY9'})"
"frozenset({'TSH', 'P17844', 'Q9C0B0'})"
"frozenset({'TSH', 'Q8IYL2', 'Q9H6X2'})"
"frozenset({'TSH', 'Q9Y478', 'P00742'})"
"frozenset({'TSH', 'Q92624', 'Q14435'})"
"frozenset({'TSH', 'Q13515', 'Q9P2A4'})"
"frozenset({'P23258', 'Q06609', 'TSH'})"
"frozenset({'TSH', 'Q96HD9', 'O15305'})"
"frozenset({'TSH', 'P49848', 'Q6ZMI0'})"
"frozenset({'TSH', 'P61328', 'P00533'})"
"frozenset({'O60934', 'Q14191', 'TSH'})"
"frozenset({'TSH', 'Q8WXU2', 'Q96EA4'})"
"frozenset({'TSH', 'P41235', 'P08473'})"
"frozenset({'TSH', 'P22694', 'Q8NH83'})"
"frozenset({'TSH', 'P29466', 'P01106'})"
"frozenset({'TSH', 'P11940', 'Q9H074'})"
"frozenset({'TSH', 'Q14562', 'Q9Y388'})"
"frozenset({'TSH', 'Q6P3W7', 'Q9UHD1'})"
"frozenset({'TSH', 'P23246', 'P28482'})"
"frozenset({'TSH', 'O15127', 'Q86X19'})"
"frozenset({'TSH', 'P27694', 'P51530'})"
"frozenset({'TSH', 'Q06609', 'Q14191'})"
"frozenset({'Q9NRY5', 'P61019', 'TSH'})"
"frozenset({'TSH', 'P13637', 'P10321'})"
"frozenset({'TSH', 'P29460', 'P08047'})"
"frozenset({'Q13616', 'Q9UBW8', 'TSH'})"
"frozenset({'TSH', 'Q9HC52', 'Q9UL42'})"
"frozenset({'O60884', 'P50991', 'TSH'})"
"frozenset({'TSH', 'P06493', 'Q96T23'})"
"frozenset({'TSH', 'Q9BWJ5', 'O43815'})"
"frozenset({'P84074', 'TSH', 'O15427'})"
"frozenset({'Q9UBS4', 'Q96DB2', 'TSH'})"
"frozenset({'TSH', 'Q9NRN7', 'Q99750'})"
"frozenset({'TSH', 'Q9HCN4', 'Q8TAF3'})"
"frozenset({'TSH', 'P47755', 'Q00610'})"
"frozenset({'TSH', 'Q8IZL8', 'Q9NR30'})"
"frozenset({'TSH', 'P43357', 'O00471'})"
"frozenset({'TSH', 'Q13618', 'Q9BQ04'})"
"frozenset({'TSH', 'O76014', 'P32242'})"
"frozenset({'TSH', 'P24821', 'Q05397'})"
"frozenset({'TSH', 'Q15555', 'Q9UQE7'})"
"frozenset({'P61086', 'Q6ZMK1', 'TSH'})"
"frozenset({'TSH', 'O15169', 'Q13526'})"
"frozenset({'TSH', 'Q09472', 'P61201'})"
"frozenset({'TSH', 'P14618', 'P00966'})"
"frozenset({'TSH', 'P62750', 'P06748'})"
"frozenset({'TSH', 'Q8N8Y5', 'Q8WTS6'})"
"frozenset({'P38606', 'P21926', 'TSH'})"
"frozenset({'P25106', 'O75947', 'TSH'})"
"frozenset({'TSH', 'P24864', 'Q92793'})"
"frozenset({'TSH', 'P06748', 'O75165'})"
"frozenset({'TSH', 'P10914', 'O00526'})"
"frozenset({'TSH', 'Q86X02', 'Q01850'})"
"frozenset({'TSH', 'Q02790', 'Q92990'})"
"frozenset({'TSH', 'P26639', 'P02751'})"
"frozenset({'Q9NP66', 'O43482', 'TSH'})"
"frozenset({'TSH', 'P08238', 'O95835'})"
"frozenset({'TSH', 'P24941', 'P99999'})"
"frozenset({'TSH', 'P33981', 'O95155'})"
"frozenset({'TSH', 'P40692', 'Q0PNE2'})"
"frozenset({'Q96EK4', 'P62195', 'TSH'})"
"frozenset({'TSH', 'Q9BVM2', 'Q9Y230'})"
"frozenset({'TSH', 'Q92547', 'Q8IY92'})"
"frozenset({'TSH', 'O75143', 'Q9UHD2'})"
"frozenset({'TSH', 'Q15118', 'P31749'})"
"frozenset({'TSH', 'P23396', 'P12755'})"
"frozenset({'TSH', 'P62158', 'P30988'})"
"frozenset({'Q504Q3', 'O60237', 'TSH'})"
"frozenset({'TSH', 'Q8WXX7', 'Q9ULD9'})"
"frozenset({'TSH', 'O15350', 'Q2M296'})"
"frozenset({'TSH', 'P05362', 'Q99880'})"
"frozenset({'TSH', 'P20936', 'P43405'})"
"frozenset({'Q71DI3', 'P60033', 'TSH'})"
"frozenset({'TSH', 'P62258', 'Q99469'})"
"frozenset({'P55899', 'Q9NPC4', 'TSH'})"
"frozenset({'TSH', 'Q8N205', 'Q12893'})"
"frozenset({'TSH', 'P06241', 'Q13283'})"
"frozenset({'TSH', 'Q9ULX6', 'Q9BTL3'})"
"frozenset({'TSH', 'O60566', 'P60900'})"
"frozenset({'TSH', 'P41597', 'O00626'})"
"frozenset({'TSH', 'P45974', 'Q8WUN7'})"
"frozenset({'TSH', 'P60484', 'P68363'})"
"frozenset({'TSH', 'O14879', 'Q92905'})"
"frozenset({'TSH', 'P21918', 'P19086'})"
"frozenset({'TSH', 'P03372', 'Q08211'})"
"frozenset({'TSH', 'Q9NRC8', 'O14646'})"
"frozenset({'TSH', 'O14980', 'Q96MH7'})"
"frozenset({'Q96ER9', 'P12036', 'TSH'})"
"frozenset({'Q15717', 'Q9C0H2', 'TSH'})"
"frozenset({'TSH', 'P35609', 'P25788'})"
"frozenset({'TSH', 'O94875', 'P00533'})"
"frozenset({'TSH', 'Q8NEM7', 'Q9P2P5'})"
"frozenset({'TSH', 'Q8NGR4', 'Q9P2W3'})"
"frozenset({'Q8TBB1', 'Q9P0T4', 'TSH'})"
"frozenset({'TSH', 'Q6N021', 'Q8TAQ2'})"
"frozenset({'P12931', 'Q96AC1', 'TSH'})"
"frozenset({'TSH', 'P59768', 'Q14833'})"
